MH2,MH3,MH5,SAP,SSN,DESCRIPTION,Sales Quantity,Online Sales Quantity,% Online Sales,Gross Sales,Margin %,Total Stock ,DC Stock ,Total Wks Cover,DC Cover
RUGBY,RUGBY_REPLICA,RIRE_LW,1118111,21Q3,Canterbury IRFU 21 Fleece Short Blk,68,12,17.65%,"1,283",5.50%,656,276,9.65,4.06
FOOTWEAR_BOYS,KIDS_BOYS_FW,KIDBOYSFW,1123385,22Q1,Nike Court Borough Low 2 Boys Fw Wht/Grn,35,5,14.29%,"1,266",50.80%,109,4,3.11,0.11
FOOTWEAR_MEN,MEN_STYLE_FW,MENSANDAL,1111392,ESS,Nike Victori One Mens Sandal Navy,43,,0.00%,"1,266",45.90%,1485,834,34.53,19.4
SWIM,SWIMWEAR,SW_MSW,1112844,CORE,Speedo Boom Logo Splice Jammer  Black,30,1,3.33%,"1,264",53.00%,717,310,23.9,10.33
RUGBY,RUGBY_REPLICA,RIRE_TK,1118071,21Q4,Canterbury IRFU 2003 Heritage Jersey Grn,17,1,5.88%,"1,264",42.60%,734,256,43.18,15.06
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1123050,22Q1,Nike Air Zoom Pegasus 38 Wmns Run Navy,11,2,18.18%,"1,260",37.60%,308,109,28,9.91
KEEPFIT,KEEP_FIT_WEIGHT,WGHTSET,1042005,ESS,USF 100kg Olympic Set,5,2,40.00%,"1,258",40.90%,161,128,32.2,25.6
SOCCER,SCR_CORE_PROD,SCR_BALL,1120680,21Q3,Mitre Delta Replica FA Cup FB Size 5 Wh,96,2,2.08%,"1,250",36.90%,397,22,4.14,0.23
GAELIC,GAA_REPLICA,GAL_TK,1118660,GAATK,O'Neills Galway 21 Home Kids Jersey Mar,23,,0.00%,"1,250",48.00%,919,658,39.96,28.61
GAELIC,GAA_REPLICA,MAY_TK,1113636,GAATK,O'Neills Mayo 21 Home Jersey Green,18,1,5.56%,"1,250",38.30%,834,404,46.33,22.44
FOOTWEAR_BOYS,KIDS_BOYS_FW,KBSFWRUN,1122303,22Q1,Asics Gel- Noosa Tri13 Kid Uni Rn Wht/Bk,22,3,13.64%,"1,239",48.20%,216,52,9.82,2.36
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_TRAX,1125638,22Q1,Adidas PREDATOR EDGE.1 L FG (low) Black,6,1,16.67%,"1,232",43.70%,25,3,4.17,0.5
KEEPFIT,KPF_MACHINE,KPFTELLIP,1100029,21/22,Proform 525 CSE+,2,1,50.00%,"1,228",35.50%,125,84,62.5,42
GAELIC,GAA_CORE_STOCK,GAA_BALL,1056976,CORE,Karakal GAA Trainer White,127,42,33.07%,"1,225",21.30%,953,352,7.5,2.77
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1115891,22Q1,Asics Novablast 2 Men Run Metropolis/Blu,9,,0.00%,"1,225",50.30%,214,69,23.78,7.67
RUGBY,RUGBY_REPLICA,RIRE_ACC,1045181,ESS,Gilbert IRFU Replica Ball Green,37,2,5.41%,"1,222",51.80%,266,21,7.19,0.57
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1117376,22Q1,Hoka Clifton 8 Womens Run Black/White,9,9,100.00%,"1,218",39.70%,29,17,3.22,1.89
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1117280,22Q1,Brooks Glycerin 19 Mens Fw Black/Blue,7,2,28.57%,"1,215",50.40%,313,165,44.71,23.57
GAELIC,GAA_CORE_STOCK,GAA_SHT,37640000,CORE,O'Neills Mourne 3 Stripe Short Wh/Roy,61,2,3.28%,"1,212",46.80%,395,89,6.48,1.46
APPAREL_MEN,MEN_TRAIN_APP,M_INL_TSH,1131439,22Q1,NIKE  DRI-FIT PARK 7 JBY Tee Blue,61,3,4.92%,"1,206",46.80%,448,132,7.34,2.16
BAG_CAP_SCARF,BAGS,BAG_M_BPK,1123355,22Q2,Nike Element Backpack Grey,43,3,6.98%,"1,205",51.00%,517,416,12.02,9.67
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1117347,22Q1,Puma Club Mens Fw Black,40,4,10.00%,"1,204",20.40%,642,10,16.05,0.25
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1115889,21Q4,Asics Kinsei Blast Mens Run Black/Yellow,6,2,33.33%,"1,200",48.40%,45,23,7.5,3.83
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_INL_FLJ,1117217,22Q1,Portwest Wmns Annagh Fleece Pink,68,5,7.35%,"1,194",29.00%,384,56,5.65,0.82
SWIM,SWIM_HARDWARE,SW_K_GOG,95018001,CORE,Speedo Jnr Jet Swim Goggles Multi,170,8,4.71%,"1,189",54.30%,2691,2363,15.83,13.9
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1123886,22Q1,UA Charged Vantage 2 Mens Run Black,15,3,20.00%,"1,184",51.80%,744,277,49.6,18.47
APPAREL_BOYS,BOYS_TRAIN_APP,B_WVN_JP,1103123,22Q1,O'Neills Achill Kids Poly Pant Black/Wht,33,1,3.03%,"1,181",49.10%,1973,1422,59.79,43.09
APPAREL_BOYS,BOYS_TRAIN_APP,B_TSUIT,1120155,21Q4,Nike Kids DF Acd21 Tracksuit Blue,30,5,16.67%,"1,180",30.20%,252,6,8.4,0.2
SOCCER,SCR_CORE_PROD,SCR_PUMP,93007001,CORE,Nike Ball Pump Black/White,95,7,7.37%,"1,179",52.30%,518,310,5.45,3.26
SOCCER,SCR_CORE_PROD,SCR_BALL,1118447,21Q3,Puma Prestige Ball White,114,,0.00%,"1,175",30.80%,713,386,6.25,3.39
APPAREL_WOMEN,WOMEN_RUN_APP,ATH_W_LST,1115714,21Q3,Energetics Wmns Wilma Halfzip II Black,77,10,12.99%,"1,173",32.20%,772,320,10.03,4.16
GAELIC,GAA_CORE_STOCK,GAA_BALL,1100766,CORE,O'Neills 19 Quick Touch Ball 9-10 Orange,90,1,1.11%,"1,173",37.50%,682,109,7.58,1.21
SOCCER,SOCCER_REPLICA,AFC_TK,1117434,P2201,adidas Arsenal 21 Home Jersey White,18,18,100.00%,"1,170",26.30%,47,33,2.61,1.83
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_K_FBB,1124288,22Q1,Nike Kids SUPERFLY 8 ACADEMY FG/MG Black,20,2,10.00%,"1,164",49.40%,96,40,4.8,2
BAG_CAP_SCARF,BAGS,BAG_M_HDA,1129355,CORE,UnderAmour UA Undeniable 5.0 Duffle MD B,26,,0.00%,"1,163",51.40%,311,120,11.96,4.62
GAELIC,GAA_CORE_STOCK,GAA_BALL,1100767,CORE,O'Neills 19 Smart Touch Ball 11-12 Green,101,24,23.76%,"1,161",23.50%,467,2,4.62,0.02
KEEPFIT,ATHLETICS_ACC,GAA_WBOTL,1061900,ESS,Intersport Elverys Waterbottle 750 ml,232,106,45.69%,"1,161",66.30%,1321,255,5.69,1.1
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_FLEE_JP,1112354,CORE,adidas Wmns 3S Legging Black,35,4,11.43%,"1,157",50.20%,690,189,19.71,5.4
APPAREL_GIRLS,GIRL_TRAIN_APP,G_TIGHT,1116921,21Q3,Puma Girls Runtrain 78 Tights Black,111,23,20.72%,"1,154",-26.30%,554,181,4.99,1.63
SOCCER,SOCCER_REPLICA,LFC_TK,1114605,21Q2,Nike Liverpool 21 Home Kids Jersey Red,26,11,42.31%,"1,153",21.30%,78,31,3,1.19
FOOTWEAR_WOMEN,WOMEN_STYLE_FW,LDSSTYLFW,1111359,21Q3,Nike Air Max Bolt Womens Fw Black,16,,0.00%,"1,152",37.10%,124,0,7.75,0
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_TRAX,1118668,ESS,Puma Monarch II FG/AG Black,29,3,10.34%,"1,150",46.30%,90,2,3.1,0.07
SOCCER,SOCCER_REPLICA,LFC_LW,1120261,21Q4,Nike Liverpool 21 Kids Travel Hoodie Gry,32,4,12.50%,"1,142",0.10%,62,30,1.94,0.94
SOCKS,SOCKS1,SOC_M_INL,105784000,CORE,Nike Cushion Crew Sock 3Pack Black,89,1,1.12%,"1,141",54.70%,2868,2232,32.22,25.08
APPAREL_MEN,MEN_RUN_APP,ATH_M_LST,1117085,CORE,Nike Mens DF Elmnt Halfzip Black,22,,0.00%,"1,139",45.80%,605,33,27.5,1.5
KEEPFIT,KEEP_FIT_WEIGHT,WGHTSET,1042002,ESS,USF 20kg Dumbbell Set,19,9,47.37%,"1,137",61.60%,928,618,48.84,32.53
SWIM,SWIM_HARDWARE,SW_A_GOG,1074583,CORE,Speedo Futura Classic Swim Goggles,76,2,2.63%,"1,133",55.10%,1426,1023,18.76,13.46
APPAREL_BOYS,BOYS_TRAIN_APP,B_TSUIT,1127474,21Q4,NIKE Kids DF ACD21 Tsuit Black,33,5,15.15%,"1,130",14.40%,386,41,11.7,1.24
SOCCER,SCR_CORE_PROD,SCR_BALL,1118448,ESS,Puma Icon Ball Silver,119,,0.00%,"1,127",40.00%,872,352,7.33,2.96
APPAREL_MEN,MEN_RUN_APP,ATH_M_SST,1123252,22Q1,Nike Men's DF Miler Top SS Red,38,2,5.26%,"1,125",49.50%,609,268,16.03,7.05
APPAREL_WOMEN,WOMEN_RUN_APP,ATH_W_TGT,1115719,21Q3,Energetics Wmns Pat BR Tight Black,59,6,10.17%,"1,121",56.60%,1131,546,19.17,9.25
RUGBY,RUGBY_REPLICA,CON_LW,1119847,21Q3,BLK Connacht 21 Padded Jacket Black,28,8,28.57%,"1,120",-14.90%,51,26,1.82,0.93
APPAREL_MEN,MEN_TRAIN_APP,M_INL_FZJ,1113394,21Q3,Portwest Listowel Softshell Men Jkt Navy,28,1,3.57%,"1,119",53.40%,505,143,18.04,5.11
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_K_FBB,1125698,22Q1,PUMA Tacto II FG/AG Jr Pink,43,20,46.51%,"1,119",51.90%,90,18,2.09,0.42
FOOTWEAR_BOYS,KIDS_BOYS_FW,KIDBOYSFW,1127106,22Q2,adidas BREAKNET Kid Boys Wht,35,7,20.00%,"1,118",39.00%,834,408,23.83,11.66
RUGBY,RUG_CORE_STOCK,RUG_GUMSH,1090318,CORE,Opro Shield Snap-Fit Jnr Blue,224,9,4.02%,"1,118",59.90%,1631,1358,7.28,6.06
RUGBY,RUGBY_REPLICA,RIRE_LW,1118128,21Q3,Canterbury IRFU Eco Poly Tee Blk,45,12,26.67%,"1,115",23.70%,628,313,13.96,6.96
SOCCER,SOCCER_REPLICA,SIRE_TD,1124499,22Q1,Umbro FAI 22 Home Kids Short White,39,5,12.82%,"1,104",40.10%,633,350,16.23,8.97
FOOTWEAR_BOYS,JNR_BOYS_FW,JNRBOYSFW,1123704,22Q2,adidas Breaknet Jnr Boys Fw White/Blue,36,20,55.56%,"1,104",44.80%,1019,880,28.31,24.44
APPAREL_MEN,MEN_TRAIN_APP,M_INL_FLJ,1118630,21Q3,McKinley Mens Skeena II Fullzip Grey,49,1,2.04%,"1,102",33.10%,1153,613,23.53,12.51
KEEPFIT,KEEP_FIT_WEIGHT,KPFTBENCH,1115540,21/22,Proform Multi Position Bench XT Black,11,9,81.82%,"1,094",38.20%,136,99,12.36,9
APPAREL_MEN,MEN_TRAIN_APP,M_1\/2_ZT,1120038,22Q1,Nike Swoosh Mens Flc Half Zip Black,20,3,15.00%,"1,085",32.60%,233,86,11.65,4.3
APPAREL_MEN,MEN_TRAIN_APP,M_FZ_HDD,1111868,22Q1,Puma Mens RTG FZ Hoody Grey,33,,0.00%,"1,084",43.80%,581,254,17.61,7.7
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1120290,21Q4,Nike Court Vision LO Mens Fw Blue/Grey,26,,0.00%,"1,082",9.40%,351,8,13.5,0.31
SWIM,SWIMWEAR,SW_LSW,1124111,22Q1,Nike Logo Tape Black,22,3,13.64%,"1,080",52.60%,178,77,8.09,3.5
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1123784,22Q1,adidas Streetcheck Mens Fw White/Black,18,3,16.67%,"1,072",32.40%,193,64,10.72,3.56
FOOTWEAR_GIRLS,KIDS_GIRLS_FW,KIDGIRLFW,1123693,22Q1,adidas Grand Court Kid Girls Fw Wht/Purp,30,5,16.67%,"1,068",45.30%,153,37,5.1,1.23
SOCCER,SCR_CORE_PROD,SCR_BALL,1116051,CORE,Mitre Ultimatch Max Football White,30,3,10.00%,"1,066",40.00%,471,188,15.7,6.27
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_INL_FLJ,1117216,21Q3,Portwest Wmns Clara Micro Fleece Pink,73,4,5.48%,"1,064",45.20%,1072,648,14.68,8.88
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_OH_HDD,1123811,22Q1,UA Wmns Rival Fleece HB Hoodie Black,24,,0.00%,"1,064",52.90%,375,141,15.63,5.88
FOOTWEAR_BOYS,INF_BOYS_FW,INFBOYSFW,1118618,21Q3,Skechers Flex Glow Elite InfBy Fw Bk/Blu,44,4,9.09%,"1,064",30.60%,2072,1402,47.09,31.86
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1115937,21Q3,Asics Novablast 2 Womens Run Blue/White,13,,0.00%,"1,064",30.00%,83,0,6.38,0
KEEPFIT,KEEP_FIT_ACC,KPFTMATS,1093445,21Q4,FM Warrior II Yoga Mat Purple,54,35,64.81%,"1,061",37.00%,815,529,15.09,9.8
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_INL_JKT,1118639,21Q3,McKinley Wmns Wells Parka Black,25,8,32.00%,"1,061",23.00%,213,41,8.52,1.64
APPAREL_BOYS,BOYS_TRAIN_APP,BTRAIN_CG,1065535,ESS,Canterbury ThermoReg Kid Cold LS Top Blk,40,1,2.50%,"1,060",42.40%,807,370,20.18,9.25
FOOTWEAR_GIRLS,KIDS_GIRLS_FW,KIDGIRLFW,1123721,22Q2,Puma Carina Lift Kid Girls Fw White/Pink,28,7,25.00%,"1,050",45.00%,105,28,3.75,1
GAELIC,GAA_REPLICA,LIM_TK,1119187,GAATK,O'Neills Limerick 21 Home Jersey Green,15,3,20.00%,"1,050",42.20%,288,130,19.2,8.67
GAELIC,GAA_CORE_STOCK,GAA_SHT,70865000,CORE,O'Neills Mourne Short Royal/White,53,3,5.66%,"1,049",43.70%,399,65,7.53,1.23
RUGBY,RUGBY_REPLICA,RIRE_TK,1118076,21Q3,Canterbury IRFU 21 Hm Kid Mini Kit Grn,26,15,57.69%,"1,046",30.70%,104,14,4,0.54
RUGBY,RUG_CORE_STOCK,RUG_GUMSH,95480001,CORE,Shock Doctor Braces Mouthguard,35,5,14.29%,"1,045",44.00%,81,28,2.31,0.8
GAELIC,GAA_CORE_STOCK,GAA_SHT,37604000,CORE,O'Neills Mourne 3 Stripe Short Ryl/Ambe,53,1,1.89%,"1,043",45.90%,424,107,8,2.02
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_1\/2_ZJ,1123574,22Q1,PUMA Wmn Train Strong QZ Maroon,26,1,3.85%,"1,040",63.10%,432,181,16.62,6.96
GAELIC,GAA_REPLICA,MAY_TK,1122424,GAATK,O'Neills Mayo 21 Alt Kids Jersey Black,19,2,10.53%,"1,040",45.00%,644,463,33.89,24.37
GAELIC,GAA_REPLICA,KIL_TK,1132168,GAATK,O'Neills Kilkenny 22 Home Kids Jersey Bl,20,2,10.00%,"1,038",41.20%,219,103,10.95,5.15
RUGBY,RUGBY_REPLICA,CON_TK,1119815,21Q3,BLK Connacht Home 21 Replica Jersey Grn,17,1,5.88%,"1,037",32.90%,153,70,9,4.12
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_TRAX,1125632,22Q1,Adidas X SPEEDFLOW.3 FG Blue,13,5,38.46%,"1,032",47.00%,47,20,3.62,1.54
GAELIC,GAA_CORE_STOCK,GAA_BALL,92943001,ESS,O'Neills First Touch Ball 6-8,116,7,6.03%,"1,030",34.60%,471,39,4.06,0.34
FOOTWEAR_WOMEN,WOMEN_STYLE_FW,LDSSTYLFW,1126908,22Q2,adidas Racer TR21 Women Grey,15,1,6.67%,"1,026",46.20%,863,423,57.53,28.2
APPAREL_MEN,MEN_TRAIN_APP,M_INL_FLJ,1117218,21Q3,Portwest Mens Lifford Micro Fleece Blue,51,1,1.96%,"1,017",59.90%,494,64,9.69,1.25
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1115919,21Q3,Asics Gel-Excite 8 Mens Run Blue/Yellow,13,,0.00%,"1,016",50.50%,114,8,8.77,0.62
APPAREL_MEN,MEN_TRAIN_APP,M_INL_TSH,1119088,21Q4,Puma Mens Train Fav Energy Tee Green,51,2,3.92%,"1,014",54.50%,547,154,10.73,3.02
GAELIC,GAA_CORE_STOCK,GAA_BALL,1118870,ESS,Peil Size 4 Football Pink,129,21,16.28%,"1,014",27.40%,422,62,3.27,0.48
AUTHENTIC_SPORT,AMERICAN_SPORTS,US_ACC,1116702,NOOS,Wilson NBA Dribbler NBA Version Brown,203,0,0.00%,"1,012",43.90%,1422,593,7,2.92
APPAREL_GIRLS,GIRL_TRAIN_APP,G_FZ_HDD,1128637,21Q4,NIKE FLEECE PARK 20 Kids FZ HOODY BLACK,41,1,2.44%,"1,010",1.30%,462,42,11.27,1.02
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1122799,22Q1,Hoka Clifton 8 Mens Run Blue Fog,7,1,14.29%,"1,008",49.20%,75,27,10.71,3.86
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1127038,22Q2,Nike Revolution 6 Womens White,17,,0.00%,"1,005",48.80%,2023,1436,119,84.47
APPAREL_MEN,MEN_TRAIN_APP,M_INL_FLJ,1117219,21Q3,Portwest Mens Lifford Micro Fleece Green,100,17,17.00%,"1,005",20.50%,332,16,3.32,0.16
SWIM,SWIMWEAR,S_INL_MSH,540000,CORE,Speedo Leisure Shorts Black,44,3,6.82%,"1,001",49.10%,721,317,16.39,7.2
FOOTWEAR_GIRLS,KIDS_GIRLS_FW,KIDGIRLFW,1123691,22Q1,adidas Racer TR21 Kid Girls Fw White/Pnk,21,2,9.52%,"1,000",48.70%,681,312,32.43,14.86
RUGBY,RUGBY_REPLICA,RIRE_LW,1105383,21Q3,Canterbury IRFU 21 Cotton Polo Green,33,3,9.09%,998,57.60%,567,188,17.18,5.7
FOOTWEAR_MEN,MEN_STYLE_FW,MENSANDAL,1111391,CORE,Nike Victori One Mens Sandal Black,34,,0.00%,998,48.10%,374,89,11,2.62
SWIM,SWIM_HARDWARE,SW_A_CAP,1089818,CORE,Speedo Long Hair Cap Black,99,10,10.10%,995,51.80%,297,0,3,0
APPAREL_WOMEN,WOMEN_RUN_APP,ATH_W_TGT,1120001,21Q4,Nike Wmns DF Fast Tight Black,31,5,16.13%,994,16.20%,165,27,5.32,0.87
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_INL_TSH,1123814,22Q1,UA Wmns Tech SSV Twist Green,35,4,11.43%,993,52.90%,202,78,5.77,2.23
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1117254,P2203,Brooks Levitate GTS 5 Wmns Fw Yucca/Navy,12,12,100.00%,993,0.20%,3,1,0.25,0.08
BAG_CAP_SCARF,BAGS,BAG_M_HDA,1129358,CORE,UnderAmour UA Undeniable 5.0 Duffle LG B,20,,0.00%,990,49.40%,193,73,9.65,3.65
FOOTWEAR_GIRLS,KIDS_GIRLS_FW,KGSFWRUN,1118606,21Q3,Skechers Go Run 650 Kid Girls Fw Nvy/Pnk,41,1,2.44%,990,41.60%,667,36,16.27,0.88
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1122864,22Q1,Brooks Adrenaline GTS22 Wmn (W)Fw Bk/Prp,7,7,100.00%,990,40.40%,45,44,6.43,6.29
FOOTWEAR_WOMEN,WOMEN_STYLE_FW,LDSSTYLFW,1123974,22Q2,Puma Flyer Flex Womens Fw Black/Purple,22,,0.00%,990,51.10%,807,342,36.68,15.55
SWIM,SWIM_HARDWARE,SW_A_CAP,1088871,CORE,Speedo Pace Swim Cap Black,77,2,2.60%,989,49.70%,722,330,9.38,4.29
GAELIC,GAA_CORE_STOCK,GAA_KGLOV,1079928,CORE,ATAK Sports Kids Aquas Glove White,66,6,9.09%,984,50.40%,863,583,13.08,8.83
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSWLKFW,1124341,22Q2,Skechers Arch Fit Womens Fw Navy,11,1,9.09%,981,50.00%,958,492,87.09,44.73
APPAREL_MEN,MEN_TRAIN_APP,M_OH_HDD,1123835,22Q1,UA Men's ARMOUR Terry Hoodie Cream,14,,0.00%,980,46.30%,187,87,13.36,6.21
GAELIC,GAA_REPLICA,MAY_TK,1122417,GAATK,O'Neills Mayo 21 Alt Jersey Black,14,3,21.43%,980,42.00%,333,95,23.79,6.79
BAG_CAP_SCARF,CAPS,CAP_M_CAP,1065922,NOOS,New Era 9Forty League NY Yankees Blk/Wh,45,,0.00%,979,50.60%,396,57,8.8,1.27
SWIM,SWIMWEAR,SW_BSW,1112837,CORE,Speedo Boom Logo Splice Jammer Black,42,3,7.14%,978,52.10%,1232,837,29.33,19.93
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_INL_FLJ,1118636,21Q3,McKinley Wmns Skeena Fleece Fulzip White,52,4,7.69%,977,26.60%,277,80,5.33,1.54
SOCCER,SCR_CORE_PROD,SCR_PUMP,1117675,ESS,Umbro Double Action Pump Black,108,3,2.78%,973,65.90%,1930,1465,17.87,13.56
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_FLEE_JP,1071837,22Q1,Bodylogic Sculpt Wmn Pant Short Black,36,,0.00%,972,31.60%,943,541,26.19,15.03
GAELIC,GAA_CORE_STOCK,GAA_SLTHR,6930000,CORE,O'Neills Sliotar,90,1,1.11%,971,45.20%,734,308,8.16,3.42
GAELIC,GAA_CORE_STOCK,GAA_KST,39920000,CORE,O'Neills Mourne Kids Short Blk/Red,51,3,5.88%,970,46.40%,154,27,3.02,0.53
APPAREL_GIRLS,GIRL_TRAIN_APP,G_TIGHT,1111290,CORE,Nike Girls Pro Tight Black,35,1,2.86%,965,52.20%,273,112,7.8,3.2
APPAREL_BOYS,BOYS_TRAIN_APP,B_INL_TSH,1127153,22Q2,NIKE BOYS NP DF SS TOP AOP BLUE,36,2,5.56%,960,45.30%,124,58,3.44,1.61
SOCCER,SOCCER_REPLICA,SIRE_ACC,1118348,21Q3,Umbro FAI 21 Neo Swerve Ball White,51,,0.00%,960,50.40%,1477,985,28.96,19.31
APPAREL_BOYS,BOYS_TRAIN_APP,B_TSUIT,1116138,22Q3,adidas Boys Tiberrio Tracksuit Black,31,3,9.68%,959,28.00%,226,45,7.29,1.45
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1115904,22Q1,Asics GT-2000 10 Mens Run Black/White,7,,0.00%,959,50.60%,413,0,59,0
SWIM,SWIMWEAR,SW_JNRSW,1109391,CORE,Speedo Croc Printed Floatsuit Cosmos/Blu,31,21,67.74%,958,51.40%,116,100,3.74,3.23
SOCCER,SOCCER_REPLICA,SIRE_TD,1124496,22Q1,Umbro FAI 22 Home Womens Jersey Green,13,2,15.38%,957,42.70%,758,486,58.31,37.38
APPAREL_WOMEN,WOMEN_RUN_APP,ATH_W_LST,1123179,22Q1,Nike Wmns TF Element HZ Purple,13,1,7.69%,956,47.80%,262,144,20.15,11.08
SWIM,SWIM_HARDWARE,SW_A_CAP,1089819,CORE,Speedo Long Hair Cap Assorted Pink,96,8,8.33%,956,50.80%,1155,793,12.03,8.26
KEEPFIT,KEEP_FIT_WEIGHT,KPFTGYMS,1119292,ESS,Rival Functional Trainer Black,1,1,100.00%,950,60.50%,57,57,57,57
APPAREL_MEN,MEN_TRAIN_APP,M_INL_TSH,1124465,22Q2,TNF MENS ODLES LOGO TEE GREEN,33,,0.00%,950,56.40%,802,678,24.3,20.55
RUGBY,RUGBY_REPLICA,RIRE_TK,1118084,21Q3,Canterbury IRFU 21 Alt Pro Kid Jers Purp,31,12,38.71%,949,-4.20%,490,326,15.81,10.52
GAELIC,GAA_CORE_STOCK,GAA_HELMT,1079496,ESS,Azzurri Hurling Helmet Red,24,,0.00%,949,33.20%,68,0,2.83,0
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_TRAX,1125642,22Q1,Adidas COPA SENSE.2 FG Black,8,1,12.50%,948,40.50%,174,86,21.75,10.75
GAELIC,GAA_CORE_STOCK,GAA_SOC,1059861,CORE,O'Neills Midi Red/White,80,10,12.50%,948,51.30%,175,30,2.19,0.38
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_TIGHTS,1117930,22Q1,adidas Wmns TF L 3Bar Tight Black,27,1,3.70%,944,36.20%,445,211,16.48,7.81
GAELIC,GAA_CORE_STOCK,GAA_GRIPS,1097232,CORE,Karakal PU Super Hurling X-Long Grip Grn,158,6,3.80%,941,55.40%,770,267,4.87,1.69
SWIM,SWIM_HARDWARE,SW_A_GOG,89799001,CORE,Speedo Jet Goggle Multi,118,2,1.69%,941,53.70%,2238,1868,18.97,15.83
FOOTWEAR_GIRLS,JNR_GIRLS_FW,JNRGIRLFW,1123701,22Q2,adidas Racer TR21 Jnr Girl Fw White/Pink,24,2,8.33%,938,45.40%,116,30,4.83,1.25
GAELIC,GAA_REPLICA,OFF_TK,1132201,GAATK,O'Neills Offaly 22 Home Jersey Grn,18,2,11.11%,938,22.10%,184,113,10.22,6.28
GAELIC,GAA_REPLICA,TIP_TK,1113670,GAATK,O'Neills Tipperary 21 GK Hm Jersey Multi,14,1,7.14%,938,39.40%,282,218,20.14,15.57
APPAREL_MEN,MEN_TRAIN_APP,M_TSUIT,1126711,21Q4,Nike Mens DF ACD21 Tracksuit Navy,21,2,9.52%,937,16.60%,280,35,13.33,1.67
SWIM,SWIMWEAR,SW_JNRSW,1109393,CORE,Speedo Koala Printed Floatsuit Pink,31,22,70.97%,935,50.30%,114,96,3.68,3.1
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_K_FBB,1124289,22Q1,Nike Kids VAPOR 14 CLUB FG/MG Black,26,23,88.46%,928,50.00%,85,58,3.27,2.23
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_TIGHTS,1131992,22Q1,NIKE W NK ONE DF MR TGT NAVY,24,4,16.67%,928,44.30%,141,80,5.88,3.33
SOCCER,SCR_CORE_PROD,SCR_BALL,1118375,21Q3,Puma EFL Ball White,56,,0.00%,926,48.50%,119,19,2.13,0.34
FOOTWEAR_BOYS,KIDS_BOYS_FW,KBSFWRUN,1118612,21Q3,Skechers Go Run 650 Kid Boy Fw Blk/Silvr,34,5,14.71%,923,45.60%,870,254,25.59,7.47
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_J_FBB,1118445,21Q3,Puma Tacto FG/AG V Jr Blue,35,11,31.43%,920,52.50%,169,38,4.83,1.09
FOOTWEAR_GIRLS,INF_GIRLS_FW,INFGIRLFW,1120387,21Q4,Nike Revolution 6 Inf Girls Fw Black/Gld,54,4,7.41%,919,12.90%,500,89,9.26,1.65
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_J_FBB,1124413,21Q3,Umbro Rapture Jnr FG Velcro Blue/Black,35,3,8.57%,916,10.70%,454,342,12.97,9.77
RUGBY,RUGBY_REPLICA,RIRE_LW,1118141,21Q3,Canterbury IRFU 21 Cotton Tee Black,46,6,13.04%,915,35.20%,473,248,10.28,5.39
BAG_CAP_SCARF,BAGS,BAG_M_HDA,1064925,ESS,Puma Fundamentals Sports Bag M Black,31,,0.00%,915,51.90%,457,167,14.74,5.39
